"","isoalpha3","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1","ARG",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"2","BHS",2003,2004,2005,2006,2007,2008,2009,NA,2011,NA,2013,2014,NA,NA,NA,NA,NA,NA,NA,NA
"3","BOL",2003,NA,2005,2006,2007,2008,2009,NA,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,NA
"4","BRA",2003,2004,2005,2006,2007,2008,2009,NA,2011,2012,2013,2014,2015,2016,2017,2018,2019,NA,NA,NA
"5","CHL",2003,NA,NA,2006,NA,NA,2009,NA,2011,NA,2013,NA,2015,NA,2017,NA,NA,2020,NA,NA
"6","CRI",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"7","DOM",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,NA
"8","ECU",2003,NA,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"9","GTM",2003,2004,NA,2006,NA,NA,NA,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,NA,2021,2022
"10","HND",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,NA,NA,NA
"11","PER",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,NA
"12","PRY",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,NA,2020,2021,2022
"13","SLV",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"14","TTO",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,NA,NA,NA,NA,NA,NA,NA
"15","URY",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,NA,2021,2022
"16","VEN",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,NA,2020,2021,NA
"17","BLZ",NA,2004,2005,NA,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","MEX",NA,2004,2005,2006,NA,2008,NA,2010,NA,2012,NA,2014,NA,2016,NA,2018,NA,2020,NA,NA
"19","NIC",NA,NA,2005,NA,NA,NA,2009,NA,NA,NA,NA,2014,NA,NA,NA,NA,NA,NA,NA,NA
"20","COL",NA,NA,NA,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,NA
"21","HTI",NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","PAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,2015,2016,2017,2018,2019,NA,NA,2022
"23","SUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA
