"indicator","year","area","quintile","ethnicity","migration","disability","age","education_level","sex","idgeo","validation","year_hh_surveyed","year_hh_indicator","weighted_value","count_countries"
"aguadisp_ch",2006,"rural","quintile_1","Total","Total","Total","Total","Total","Total","country",0.425238950483513,3614375.00213623,1536973.03256226,42.5238950483513,3
"aguadisp_ch",2006,"rural","quintile_2","Total","Total","Total","Total","Total","Total","country",0.528395600547953,2939285.39065552,1553105.46917725,52.8395600547953,3
"aguadisp_ch",2006,"rural","quintile_3","Total","Total","Total","Total","Total","Total","country",0.594672185213352,2324699.39822388,1382434.07110596,59.4672185213352,3
"aguadisp_ch",2006,"rural","quintile_4","Total","Total","Total","Total","Total","Total","country",0.622343244911914,1888656.82424927,1175392.81652832,62.2343244911914,3
"aguadisp_ch",2006,"rural","quintile_5","Total","Total","Total","Total","Total","Total","country",0.623493939758236,1224045.65304565,763185.046661377,62.3493939758236,3
"aguadisp_ch",2006,"rural","Total","Afro","Total","Total","Total","Total","Total","country",0.305171673195986,154814.5,47245,30.5171673195986,1
"aguadisp_ch",2006,"rural","Total","Indi","Total","Total","Total","Total","Total","country",0.409089744328919,156099,63858.5,40.9089744328919,1
"aguadisp_ch",2006,"rural","Total","Other","Total","Total","Total","Total","Total","country",0.33675775047637,2637918.5,888339.5,33.675775047637,1
"aguadisp_ch",2006,"rural","Total","Total","Total","Total","Total","Total","Total","country",0.521887905618911,12910002.6150208,6737574.22628784,52.1887905618911,3
"aguadisp_ch",2006,"Total","quintile_1","Total","Total","Total","Total","Total","Total","country",0.481220792413871,5488469.47134399,2641165.6281395,48.1220792413871,3
"aguadisp_ch",2006,"Total","quintile_2","Total","Total","Total","Total","Total","Total","country",0.605056976908861,6455294.6969223,3905821.09437561,60.5056976908861,3
"aguadisp_ch",2006,"Total","quintile_3","Total","Total","Total","Total","Total","Total","country",0.694775429878499,7204781.27876663,5005705.01013565,69.4775429878499,3
"aguadisp_ch",2006,"Total","quintile_4","Total","Total","Total","Total","Total","Total","country",0.742786039805136,8299569.19423294,6164804.13387299,74.2786039805136,3
"aguadisp_ch",2006,"Total","quintile_5","Total","Total","Total","Total","Total","Total","country",0.801607730525441,10103464.3230743,8099015.10646439,80.1607730525441,3
"aguadisp_ch",2006,"Total","Total","Afro","Total","Total","Total","Total","Total","country",0.660173859838493,692972,457482,66.0173859838493,1
"aguadisp_ch",2006,"Total","Total","Indi","Total","Total","Total","Total","Total","country",0.506714323311885,317269.5,160765,50.6714323311885,1
"aguadisp_ch",2006,"Total","Total","Other","Total","Total","Total","Total","Total","country",0.645664572779693,10747476,6939264.5,64.5664572779693,1
"aguadisp_ch",2006,"Total","Total","Total","Total","Total","Total","Total","Total","country",0.681457068676156,40172025.8134956,27375510.9536476,68.1457068676156,3
"aguadisp_ch",2006,"urban","quintile_1","Total","Total","Total","Total","Total","Total","country",0.589187265487217,1874094.46920776,1104192.59557724,58.9187265487217,3
"aguadisp_ch",2006,"urban","quintile_2","Total","Total","Total","Total","Total","Total","country",0.669143742311769,3516009.30626679,2352715.62519836,66.9143742311769,3
"aguadisp_ch",2006,"urban","quintile_3","Total","Total","Total","Total","Total","Total","country",0.742461095473816,4880081.88054276,3623270.93902969,74.2461095473816,3
"aguadisp_ch",2006,"urban","quintile_4","Total","Total","Total","Total","Total","Total","country",0.77826852550745,6410912.36998368,4989411.31734467,77.826852550745,3
"aguadisp_ch",2006,"urban","quintile_5","Total","Total","Total","Total","Total","Total","country",0.826161073422987,8879418.67002869,7335830.05980301,82.6161073422987,3
"aguadisp_ch",2006,"urban","Total","Afro","Total","Total","Total","Total","Total","country",0.762299141050715,538157.5,410237,76.2299141050715,1
"aguadisp_ch",2006,"urban","Total","Indi","Total","Total","Total","Total","Total","country",0.601266981240363,161170.5,96906.5,60.1266981240363,1
"aguadisp_ch",2006,"urban","Total","Other","Total","Total","Total","Total","Total","country",0.746147369939729,8109557.5,6050925,74.6147369939729,1
"aguadisp_ch",2006,"urban","Total","Total","Total","Total","Total","Total","Total","country",0.757021464515308,27262023.1984749,20637936.7273598,75.7021464515308,3
"aguadisp_ch",2008,"rural","quintile_1","Total","Total","Total","Total","Total","Total","country",0.400902653571556,5214319.62471771,2090434.57411957,40.0902653571556,5
"aguadisp_ch",2008,"rural","quintile_2","Total","Total","Total","Total","Total","Total","country",0.488866162175165,3512673.2743988,1717227.10263062,48.8866162175165,5
"aguadisp_ch",2008,"rural","quintile_3","Total","Total","Total","Total","Total","Total","country",0.515279869476279,2551067.86242676,1314513.91517639,51.5279869476279,5
"aguadisp_ch",2008,"rural","quintile_4","Total","Total","Total","Total","Total","Total","country",0.561256451269489,2033603.49500275,1141373.08089447,56.1256451269489,5
"aguadisp_ch",2008,"rural","quintile_5","Total","Total","Total","Total","Total","Total","country",0.590439887477975,1444148.80648041,852683.058799744,59.0439887477975,5
"aguadisp_ch",2008,"rural","Total","Indi","Total","Total","Total","Total","Total","country",0.714424934405905,693660,495568,71.4424934405905,1
"aguadisp_ch",2008,"rural","Total","Other","Total","Total","Total","Total","Total","country",0.832784179890319,178153,148363,83.2784179890319,1
"aguadisp_ch",2008,"rural","Total","Total","Total","Total","Total","Total","Total","country",0.481682700019815,14817393.6457062,7137282.1785202,48.1682700019815,5
"aguadisp_ch",2008,"Total","quintile_1","Total","Total","Total","Total","Total","Total","country",0.475524633293954,7907722.27135467,3760316.73327637,47.5524633293954,5
"aguadisp_ch",2008,"Total","quintile_2","Total","Total","Total","Total","Total","Total","country",0.608596623673009,7965818.91693115,4847970.49763489,60.8596623673009,5
